IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.70.117.136,443,true,SJC,North America,San Jose,177 ms,9600 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,192 ms,7938 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,247 ms,6270 kB/s
140.238.120.21,443,true,FRA,Europe,Frankfurt,257 ms,6245 kB/s
141.147.65.130,443,true,FRA,Europe,Frankfurt,257 ms,6070 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,259 ms,5986 kB/s
138.2.157.236,443,true,FRA,Europe,Frankfurt,256 ms,5935 kB/s
143.47.184.95,443,true,FRA,Europe,Frankfurt,260 ms,5395 kB/s
150.230.21.92,443,true,FRA,Europe,Frankfurt,247 ms,5314 kB/s
34.91.15.225,443,true,FRA,Europe,Frankfurt,232 ms,5227 kB/s
146.56.46.84,443,true,NRT,Asia Pacific,Tokyo,76 ms,5068 kB/s
164.152.26.70,2086,true,IAD,North America,Ashburn,257 ms,4970 kB/s
152.70.57.115,443,true,FRA,Europe,Frankfurt,258 ms,4390 kB/s
34.89.198.241,443,true,FRA,Europe,Frankfurt,276 ms,4331 kB/s
204.216.105.106,8443,true,YYZ,North America,Toronto,250 ms,4229 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,197 ms,4175 kB/s
141.147.144.246,8080,true,KIX,Asia Pacific,Osaka,221 ms,4047 kB/s
132.145.54.84,8443,true,LHR,Europe,London,245 ms,3836 kB/s
132.145.54.84,2053,true,LHR,Europe,London,243 ms,3832 kB/s
158.101.175.51,8443,true,FRA,Europe,Frankfurt,263 ms,3679 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,294 ms,3637 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,261 ms,3513 kB/s
143.47.243.144,8443,true,LHR,Europe,London,244 ms,3508 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,251 ms,3410 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,251 ms,3394 kB/s
138.2.18.184,443,true,NRT,Asia Pacific,Tokyo,132 ms,3382 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,256 ms,3372 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,296 ms,3302 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,259 ms,3276 kB/s
193.122.56.209,443,true,FRA,Europe,Frankfurt,305 ms,3203 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,290 ms,3186 kB/s
144.21.51.110,443,true,LHR,Europe,London,241 ms,3186 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,231 ms,3177 kB/s
158.179.203.23,443,true,OSL,Europe,Oslo,260 ms,3103 kB/s
129.146.2.27,443,true,LAX,North America,Los Angeles,261 ms,3100 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,305 ms,3086 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,251 ms,3014 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,271 ms,2997 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,239 ms,2988 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,270 ms,2956 kB/s
193.123.61.142,2053,true,AMS,Europe,Amsterdam,248 ms,2914 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,294 ms,2866 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,268 ms,2863 kB/s
143.47.243.144,2053,true,LHR,Europe,London,241 ms,2863 kB/s
204.216.214.115,2095,true,MRS,Europe,Marseille,311 ms,2737 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,240 ms,2729 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,257 ms,2649 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,290 ms,2483 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,292 ms,2421 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,243 ms,2338 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,260 ms,2294 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,290 ms,2212 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,292 ms,2112 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,310 ms,2019 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,269 ms,2006 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,274 ms,2003 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,282 ms,1916 kB/s
146.56.132.247,443,true,NRT,Asia Pacific,Tokyo,71 ms,1731 kB/s
143.47.188.92,443,true,FRA,Europe,Frankfurt,243 ms,1698 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,337 ms,1693 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,237 ms,1667 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,293 ms,1561 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,322 ms,1436 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,297 ms,1346 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,296 ms,1334 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,240 ms,1238 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,296 ms,1180 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,258 ms,1167 kB/s
141.144.250.81,443,true,FRA,Europe,Frankfurt,245 ms,1160 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,295 ms,1155 kB/s
144.24.173.250,2053,true,FRA,Europe,Frankfurt,291 ms,1088 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,263 ms,1052 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,256 ms,950 kB/s
130.61.109.6,8443,true,FRA,Europe,Frankfurt,293 ms,851 kB/s
193.123.61.142,8443,true,AMS,Europe,Amsterdam,262 ms,848 kB/s
129.159.252.1,443,true,FRA,Europe,Frankfurt,236 ms,822 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,366 ms,793 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,81 ms,787 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,242 ms,744 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,245 ms,707 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,291 ms,576 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,294 ms,547 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,82 ms,433 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,291 ms,384 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,255 ms,377 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,252 ms,377 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,190 ms,371 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,289 ms,329 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,314 ms,310 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,265 ms,307 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,344 ms,291 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,342 ms,208 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,180 ms,195 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,253 ms,160 kB/s
